title,score,type,quarter,series,note,genre
허당 선도부원과 스커트 길이가 부적절한 여고생의 이야기,,seasonal,26년 2분기,,,로맨스/코미디/학원
실지주 4기,,seasonal,26년 2분기,실력지상주의,,학원/심리/로맨스
카난 님은 초보 악마,,seasonal,26년 2분기,,,판타지/코미디/로맨스
MAO,,seasonal,26년 2분기,,,판타지/액션/역사
얼음 성벽,,seasonal,26년 2분기,,,판타지/액션
스노우볼 어스,,seasonal,26년 2분기,,,판타지/모험/액션
리제로 4기,,seasonal,26년 2분기,리제로,,판타지/이세계/액션
오나쿠에게 상냥한 갸루는 없다,,seasonal,26년 2분기,,,로맨스/코미디/학원
리인카네이션의 꽃잎,,seasonal,26년 2분기,,,판타지/이세계
옆집 천사님 때문에 어느샌가 인간적으로 타락한 사연,,seasonal,26년 2분기,옆집천사님,,로맨스/코미디/학원
반에서 두 번째로 귀여운 여자와 친구가 되었다,,seasonal,26년 2분기,,,로맨스/코미디/학원
메리지 톡신,,seasonal,26년 2분기,,,로맨스/코미디/학원/판타지
지팡이와 검의 위스토리아 2기,,seasonal,26년 2분기,위스토리아,,판타지/액션
비실비실 선생님,,seasonal,26년 2분기,,,코미디/학원
사랑해 게임을 끝내고 싶어,,seasonal,26년 2분기,,,로맨스/코미디/학원
렌탈여친 5기,,seasonal,26년 2분기,여친빌리겠습니다,,로맨스/코미디/학원/하렘
치킨 파이터,,seasonal,26년 2분기,,,코미디/액션/학원
쿠지마 노래하면 집이 파다닥,,seasonal,26년 2분기,,,코미디/일상
황천의 츠가이,,seasonal,26년 2분기,,,액션/판타지
암살교실 모두의 시간,,seasonal,26년 2분기,암살교실,,학원/액션/코미디
초 카구야 공주,8.0,seasonal,26년 1분기,,,로맨스/코미디/학원
페이트/스트레인지 페이크,,seasonal,26년 1분기,,,액션/판타지
최애의 아이 3기,,seasonal,26년 1분기,최애의아이,,드라마/아이돌/미스터리
주술회전 3기,,seasonal,26년 1분기,주술회전,,액션/판타지/공포
장송의 프리렌 2기,,seasonal,26년 1분기,장송의프리렌,,판타지/모험/일상
지옥락 2기,,seasonal,26년 1분기,지옥락,,액션/판타지
소꿉친구와는 러브 코미디를 할 수 없어,,seasonal,26년 1분기,,,로맨스/코미디/학원
한밤중 하트튠,,seasonal,26년 1분기,,,로맨스/마법소녀
타몬 군 지금 어느 쪽,,seasonal,26년 1분기,,,로맨스/학원/코미디
아름다운 초저녁달,,seasonal,26년 1분기,,,로맨스/드라마
정반대의 너와 나,,seasonal,26년 1분기,,,로맨스/학원/코미디
친구 여동생이 나한테만 짜증나게 군다,8.5,seasonal,25년 4분기,,,로맨스/코미디/학원
서투른 선배,8.5,seasonal,25년 4분기,,,로맨스/코미디/직장
비탄의 망령은 은퇴하고 싶다 2기,8.0,seasonal,25년 4분기,비탄의망령,,액션/판타지/코미디
스파이 패밀리 3기,9.0,seasonal,25년 4분기,스파이패밀리,,액션/코미디/스파이
나를 먹고 싶은 괴물,8.5,seasonal,25년 4분기,,,로맨스/공포/학원
태양보다 눈부신 별,9.0,seasonal,25년 4분기,,,로맨스/드라마/학원
치토세 군은 라무네 병 속에,8.0,seasonal,25년 4분기,,10화까지,로맨스/코미디/학원
와타리 군의 xx가 붕괴 직전 2쿨,7.0,seasonal,25년 4분기,와타리군,,로맨스/학원/코미디
단다단 2기,8.5,seasonal,25년 3분기,단다단,,액션/코미디/로맨스/오컬트
팬스가 2기,7.0,seasonal,25년 3분기,,,판타지/코미디/하렘
미카도노 세 자매,8.5,seasonal,25년 3분기,,,로맨스/코미디/학원/하렘
여친 빌리겠습니다 4기,8.5,seasonal,25년 3분기,여친빌리겠습니다,,로맨스/코미디/학원/하렘
뻐꾸기 약혼자 2기,8.5,seasonal,25년 3분기,뻐꾸기약혼자,,로맨스/코미디/학원
사카모토 데이즈 2기,8.5,seasonal,25년 3분기,사카모토데이즈,,액션/코미디
내가 연인이 될 수 있을 리 없잖아,8.5,seasonal,25년 3분기,,,로맨스/코미디/학원
To be hero X 2기,8.5,seasonal,25년 3분기,ToBeHeroX,,액션/코미디/히어로
향기로운 꽃은 늠름하게 핀다,10.0,seasonal,25년 3분기,,,로맨스/드라마/학원
비스크 돌 2기,9.0,seasonal,25년 3분기,비스크돌,,로맨스/코스프레
청춘 돼지는 산타클로스의 꿈을 꾸지 않는다,8.5,seasonal,25년 3분기,청춘돼지,,로맨스/드라마/SF
괴수8호 2기,9.5,seasonal,25년 3분기,괴수8호,,액션/SF/판타지
와타리 군의 xx가 붕괴 직전 1쿨,8.5,seasonal,25년 3분기,와타리군,,로맨스/학원/코미디
록은 숙녀의 소양이기에,9.5,seasonal,25년 2분기,,,로맨스/코미디/학원/음악
To be hero x 1기,8.5,seasonal,25년 2분기,ToBeHeroX,,액션/코미디/히어로
길티기어,8.5,seasonal,25년 2분기,,,액션/게임
윈드브레이커 2기,8.0,seasonal,25년 2분기,윈드브레이커,,액션/스포츠/학원
입어주세요 타카미네 양,8.5,seasonal,25년 2분기,,,로맨스/코미디/학원
라자로,7.5,seasonal,25년 2분기,,,판타지/액션
전대대실격 2기,8.5,seasonal,25년 2분기,전대대실격,,판타지/히어로
트윈즈 히나하나,7.0,seasonal,25년 2분기,,,로맨스/코미디/학원
위치 워치 1기,8.0,seasonal,25년 2분기,,,액션/마법/코미디
남녀의 우정은 성립할까?,9.5,seasonal,25년 2분기,,,로맨스/코미디/학원
볼파크에서 붙잡아줘,8.0,seasonal,25년 2분기,,,로맨스/스포츠
닌자와 암살자의 동거,8.5,seasonal,25년 2분기,,,로맨스/코미디/액션
구룡 제네릭 로맨스,7.5,seasonal,25년 2분기,,,로맨스/SF
시운지 가의 아이들,8.5,seasonal,25년 2분기,,,드라마/가족
아포칼립스 호텔,8.5,seasonal,25년 2분기,,,드라마/학원
문라이즈,8.5,seasonal,25년 2분기,,,판타지/로맨스
리제로 3기 2쿨,9.0,seasonal,25년 1분기,리제로,,판타지/이세계/액션
나혼렙 2기,9.5,seasonal,25년 1분기,나혼렙,,액션/판타지/이세계
나를 좋아하는 100명의 히로인 2기,8.0,seasonal,25년 1분기,100명의그녀,,로맨스/코미디/하렘/학원
사카모토 데이즈,9.0,seasonal,25년 1분기,사카모토데이즈,,액션/코미디
반에서 가장 싫어하는 여자애와 결혼,9.0,seasonal,25년 1분기,,,로맨스/코미디/학원
쿠로이와 메다카에게 귀여움이 통하지 않아,8.5,seasonal,25년 1분기,,,로맨스/코미디/학원
오키나와 사투리,7.0,seasonal,25년 1분기,,,로맨스/학원/코미디
이 회사에 좋아하는 사람,8.5,seasonal,25년 1분기,,,로맨스/직장
푸른 상자 2쿨,10.0,seasonal,25년 1분기,,,로맨스/스포츠/학원
비탄의 망령은 은퇴하고 싶다,8.0,seasonal,24년 4분기,비탄의망령,,액션/판타지/코미디
주식회사 마지루미에,7.0,seasonal,24년 4분기,,,판타지/코미디
메카닉 암즈,7.5,seasonal,24년 4분기,,,액션/SF/모험
당신은 저승님,8.5,seasonal,24년 4분기,,,판타지/로맨스/코미디
블루록 1기 2기,9.0,seasonal,24년 4분기,,,스포츠/심리
결혼한다는게 정말인가요?,8.5,seasonal,24년 4분기,,,로맨스/학원
아마가미 씨네 인연 맺기,8.5,seasonal,24년 4분기,,,로맨스/학원
아내 초등학생이 되다,7.0,seasonal,24년 4분기,,,판타지/코미디/로맨스
단다단,8.5,seasonal,24년 4분기,단다단,,액션/코미디/로맨스/오컬트
샹그릴라 프론티어 2기,7.0,seasonal,24년 4분기,샹그릴라프론티어,,게임/판타지/이세계
푸른 상자 1쿨,10.0,seasonal,24년 4분기,,,로맨스/스포츠/학원
최흉의 버퍼,8.5,seasonal,24년 4분기,,,판타지/액션/게임
리제로 3기,8.0,seasonal,24년 4분기,리제로,,판타지/이세계/액션
사랑은 쌍둥이로 나눌 수 없어,8.5,seasonal,24년 3분기,,,로맨스/코미디/학원
2.5차원의 유혹,8.5,seasonal,24년 3분기,,,로맨스/코미디/학원/코스프레
아트리 my dear moments,8.0,seasonal,24년 3분기,,,판타지/로맨스/SF
최애의 아이 2기,8.5,seasonal,24년 3분기,최애의아이,,드라마/아이돌/미스터리
지팡이와 검의 위스토리아,8.5,seasonal,24년 3분기,,,판타지/액션
패배 히로인이 너무 많아,8.5,seasonal,24년 3분기,,,로맨스/코미디/학원
니어: 오토마타 2기,8.5,seasonal,24년 3분기,니어오토마타,,액션/SF
도망을 잘 치는 도련님,7.0,seasonal,24년 3분기,,,판타지/로맨스/코미디
이세계 실격,7.0,seasonal,24년 3분기,,,이세계/액션/코미디
vTuber인데 방송 끄는 걸 깜빡했더니 전설이 되어있었다,7.0,seasonal,24년 3분기,,,코미디/일상/게임
일찍이 마법소녀와 악은 적대하고 있었다,7.0,seasonal,24년 3분기,,,마법소녀/코미디
여신의 카페테라스 2기,8.5,seasonal,24년 3분기,,,로맨스/코미디/하렘
